key,where,placeholders,en,cs
pressAnswerDemandMore2,Press conference line.,,Standards slipped. Some of them know exactly what I mean.,"Laťka klesla. Někteří přesně vědí, koho myslím."
pressAnswerDemandMore3,Press conference line.,,"Effort isn't enough at this level. I want more, and I've told them so.",Na téhle úrovni nestačí snaha. Chci víc a řekl jsem jim to.
pressAnswerRaiseBar2,Press conference line.,,No hiding from it. We expect to lift the trophy.,"Nebudu to obcházet. Čekáme, že zvedneme trofej."
pressAnswerRaiseBar3,Press conference line.,,Second place is not what this country sent us here for.,"Druhé místo není to, kvůli čemu nás sem tahle země poslala."
pressAnswerPlayDown2,Press conference line.,,I'm not going to make headlines for you today.,Titulek vám dneska nedám.
pressAnswerPlayDown3,Press conference line.,,Next game. That's all I'm thinking about.,Další zápas. Na nic jiného nemyslím.
recordsRecordBookSubtitle,Records/legacy label.,,"Caps, goals and the team's headline records","Starty, góly a klubové rekordy týmu"
statsLegacy,Records/legacy label.,,LEGACY,ODKAZ
pressAskHeavyDefeat4,Press conference line.,{opponent},That was hard to watch. Did {opponent} simply want it more?,Bolelo to sledovat. Chtěl {opponent} prostě víc?
pressAskHeavyDefeat5,Press conference line.,{opponent},You were second to everything against {opponent}. Fitness or attitude?,"Se soupeřem {opponent} jste byli všude druzí. Kondice, nebo přístup?"
pressAskHeavyDefeat6,Press conference line.,{opponent},{opponent} scored at will. Who is responsible for that defence?,"{opponent} dával, kdy chtěl. Kdo nese odpovědnost za tu obranu?"
pressAskHeavyDefeat7,Press conference line.,{opponent},A result like that against {opponent} follows a manager around. How do you come back from it?,Takový výsledek se soupeřem {opponent} se za trenérem táhne. Jak se z toho vrací?
pressAskHeavyDefeat8,Press conference line.,{opponent},You were booed off after {opponent}. Do you blame them?,Po zápase se soupeřem {opponent} vás vypískali. Divíte se jim?
pressAskElimination4,Press conference line.,{opponent},{opponent} knocked you out. When did you know it had gone?,"{opponent} vás vyřadil. Kdy jste věděl, že je to pryč?"
pressAskElimination5,Press conference line.,{opponent},"Another tournament, another early flight home, and {opponent} did it. Why?","Další turnaj, další brzký let domů, a postaral se o to {opponent}. Proč?"
pressAskElimination6,Press conference line.,{opponent},Out to {opponent}. Is this squad short of quality or short of nerve?,"Konec se soupeřem {opponent}. Chybí týmu kvalita, nebo nervy?"
pressAskElimination7,Press conference line.,{opponent},{opponent} are through and you are not. What do you say in that dressing room?,"{opponent} jde dál, vy ne. Co se říká v takové kabině?"
pressAskElimination8,Press conference line.,{opponent},Beaten by {opponent} when it mattered. Does that define your time here?,"Porážka se soupeřem {opponent} ve chvíli, kdy šlo o všechno. Definuje to vaše působení?"
pressAskUnderPressure4,Press conference line.,,The bookmakers have you favourite to go. Does that reach you?,Sázkaři vás vidí jako prvního na odchod. Dostane se to k vám?
pressAskUnderPressure5,Press conference line.,,Your predecessor was sacked on a run like this. What makes you different?,Váš předchůdce po podobné sérii skončil. Čím jste jiný?
pressAskUnderPressure6,Press conference line.,,The board have said nothing publicly. Is silence support?,Vedení veřejně mlčí. Je mlčení podpora?
pressAskUnderPressure7,Press conference line.,,Every phone-in wants a new manager. Have you lost the country?,Každá debata volá po novém trenérovi. Ztratil jste zemi?
pressAskUnderPressure8,Press conference line.,,How many more games do you think you have?,"Kolik zápasů si myslíte, že ještě máte?"
pressAskPreview4,Press conference line.,,"Who is the team to beat, and are you in that conversation?",Kdo je favorit a patříte do té debaty?
pressAskPreview5,Press conference line.,,Nobody outside this room fancies you. Does that suit you?,Mimo tuhle místnost vám nikdo nevěří. Vyhovuje vám to?
pressAskPreview6,Press conference line.,,"What would make this a successful tournament, honestly?","Co by z tohohle turnaje udělalo úspěch, upřímně?"
pressAskPreview7,Press conference line.,,Your group looks kind. Is anything less than qualification unacceptable?,Skupina vypadá schůdně. Je cokoli míň než postup selhání?
pressAskPreview8,Press conference line.,,This is the youngest squad you have taken to a finals. Gamble or plan?,"Je to nejmladší kádr, s jakým jste na turnaj jel. Risk, nebo plán?"
pressAskOpening4,Press conference line.,{opponent},"First game, {opponent}, and everyone is nervous. How do you settle a side?","První zápas, {opponent}, a nervózní jsou všichni. Jak se tým uklidňuje?"
pressAskOpening5,Press conference line.,{opponent},You have waited two years for this. Does the plan change now {opponent} are in front of you?,"Čekal jste na tohle dva roky. Mění se plán, když před vámi stojí {opponent}?"
pressAskOpening6,Press conference line.,{opponent},{opponent} to open. Win it and the whole tournament looks different. Do you tell them that?,Na úvod {opponent}. Výhra a celý turnaj vypadá jinak. Říkáte jim to?
pressAskOpening7,Press conference line.,{opponent},The country has stopped for this. Is {opponent} a good draw or a bad one?,"Země se kvůli tomu zastavila. Je {opponent} dobrý, nebo špatný los?"
pressAskOpening8,Press conference line.,{opponent},Opening night against {opponent}. What is the one thing you cannot allow?,Zahajovací večer proti {opponent}. Co si nesmíte dovolit?
pressAskTriumph4,Press conference line.,,You have made history. Has it landed yet?,Napsal jste historii. Došlo vám to už?
pressAskTriumph5,Press conference line.,,The trophy is in the room. Who did you think of first?,Trofej je v místnosti. Na koho jste pomyslel první?
pressAskTriumph6,Press conference line.,,A generation will remember this side. What should they remember about it?,Na tenhle tým bude vzpomínat celá generace. Co si má pamatovat?
pressAskTriumph7,Press conference line.,,You were written off in this very room. Enjoying the moment?,V téhle místnosti vás odepsali. Užíváte si to?
pressAskTriumph8,Press conference line.,,"Is this the peak, or can this team win more?","Je tohle vrchol, nebo může tenhle tým vyhrát víc?"
pressAskBigWin4,Press conference line.,{opponent},{opponent} had no answer to that. The plan or the players?,"{opponent} na to neměl odpověď. Plán, nebo hráči?"
pressAskBigWin5,Press conference line.,{opponent},"The best performance of your reign, and against {opponent}?","Nejlepší výkon vaší éry, a proti soupeři {opponent}?"
pressAskBigWin6,Press conference line.,{opponent},You could have had more against {opponent}. Do you ask for ruthlessness or take the win?,"Se soupeřem {opponent} to mohlo být vyšší. Chcete důslednost, nebo berete výhru?"
pressAskBigWin7,Press conference line.,{opponent},A scoreline like that against {opponent} raises expectations. Comfortable with that?,Takový výsledek se soupeřem {opponent} zvedá očekávání. Je vám to příjemné?
pressAskBigWin8,Press conference line.,{opponent},{opponent} never laid a glove on you. Is this side finally what you wanted?,"{opponent} se vás ani nedotkl. Je tenhle tým konečně takový, jaký jste chtěl?"
pressAskQualified4,Press conference line.,,Job done. Was it ever in doubt?,Splněno. Byly vůbec pochybnosti?
pressAskQualified5,Press conference line.,,You are through. Does the campaign tell you how far you can go?,"Jste tam. Říká vám kvalifikace, jak daleko můžete dojít?"
pressAskQualified6,Press conference line.,,A place at the finals: relief or satisfaction?,"Místo na turnaji: úleva, nebo zadostiučinění?"
pressAskQualified7,Press conference line.,,You qualified with games to spare. What are the rest of them for?,Postoupili jste s předstihem. K čemu jsou ty zbývající zápasy?
pressAskQualified8,Press conference line.,,Now the hard part. Is this squad ready for a tournament?,Teď přijde to těžší. Je tenhle kádr na turnaj připravený?
pressAskMissedOut4,Press conference line.,,No tournament this time. A squad problem or a coaching one?,"Tentokrát bez turnaje. Problém kádru, nebo trenéra?"
pressAskMissedOut5,Press conference line.,,Two years of work and nothing to show. Do you still believe in this group?,Dva roky práce a nic. Věříte téhle partě pořád?
pressAskMissedOut6,Press conference line.,,The country will not see its team at a finals. What do you owe them?,Země svůj tým na turnaji neuvidí. Co jí dlužíte?
pressAskMissedOut7,Press conference line.,,Was there one night that cost you?,"Byl jeden večer, který to stál?"
pressAskMissedOut8,Press conference line.,,Do you expect to still be in this job next season?,"Čekáte, že tuhle práci budete mít i příští sezonu?"
pressAskUnbeaten4,Press conference line.,,Nobody has beaten you in a year. Are you thinking about records?,Rok vás nikdo neporazil. Myslíte na rekordy?
pressAskUnbeaten5,Press conference line.,,The run is the story now. Is it a burden yet?,Ta série je teď hlavní téma. Je už přítěží?
pressAskUnbeaten6,Press conference line.,,Sides set up not to lose to you. Does that make it harder?,"Soupeři se staví tak, aby s vámi neprohráli. Je to těžší?"
pressAskUnbeaten7,Press conference line.,,"When it ends, and it will, how do you want it to end?","Až to skončí, a ono skončí, jak byste chtěl, aby to skončilo?"
pressAskUnbeaten8,Press conference line.,,"Unbeaten, but how many of those were convincing?","Neporaženi, ale kolik z toho bylo přesvědčivých?"
pressAskNewJob4,Press conference line.,,You inherit a squad in transition. Where do you start?,Přebíráte kádr v přestavbě. Kde začnete?
pressAskNewJob5,Press conference line.,,What does this team look like in two years?,Jak bude tenhle tým vypadat za dva roky?
pressAskNewJob6,Press conference line.,,You turned down other offers for this one. Why?,Kvůli téhle nabídce jste jiné odmítl. Proč?
pressAskNewJob7,Press conference line.,,Some of these players were not picked by you. Does anyone start with a clean slate?,Některé hráče jste nevybíral vy. Začíná někdo s čistým štítem?
pressAskNewJob8,Press conference line.,,What has this country been getting wrong?,Co tahle země dělá špatně?
pressAskRankingPeak4,Press conference line.,,Top of the pile on paper. Does a ranking mean anything to you?,Na papíře nejvýš. Znamená pro vás žebříček něco?
pressAskRankingPeak5,Press conference line.,,The highest this nation has ever been. Whose achievement is that?,Nejvýš v historii téhle země. Čí je to zásluha?
pressAskRankingPeak6,Press conference line.,,You are ranked above sides with far more history. Fair?,Jste nad týmy s mnohem větší historií. Spravedlivé?
pressAskRankingPeak7,Press conference line.,,The numbers say you are among the best. Do the trophies?,"Čísla říkají, že patříte ke špičce. Říkají to i trofeje?"
pressAskRankingPeak8,Press conference line.,,A record ranking and no trophy yet. Does that sit uneasily?,Rekordní postavení a zatím žádná trofej. Nesedí vám to?
pressAnswerBackPlayers4,Press conference line.,,I'll take the questions. They'll take the credit. That's how it works here.,Otázky vezmu já. Zásluhy oni. Tak se to tady dělá.
pressAnswerBackPlayers5,Press conference line.,,This group has never let me down. Not once.,Tahle parta mě nikdy nezklamala. Ani jednou.
pressAnswerBackPlayers6,Press conference line.,,They're hurting more than anyone. I'm not adding to it.,Bolí je to víc než kohokoli jiného. Nebudu přisazovat.
pressAnswerTakeBlame4,Press conference line.,,That's on the staff and it's on me. Nobody else.,Je to na realizačním týmu a na mně. Na nikom jiném.
pressAnswerTakeBlame5,Press conference line.,,"I picked it, I set it up, I got it wrong.","Já to vybral, já to postavil, já to zkazil."
pressAnswerTakeBlame6,Press conference line.,,Point it at me. That's what I'm paid for.,Ukazujte na mě. Za to jsem placený.
pressAnswerDemandMore4,Press conference line.,,Some of them are a long way short of what this shirt asks.,"Někteří jsou hodně daleko od toho, co tenhle dres vyžaduje."
pressAnswerDemandMore5,Press conference line.,,I've told them privately and I'll say it here: it isn't good enough.,Řekl jsem jim to v kabině a řeknu to i tady: nestačí to.
